Walk Length,Num Walks,p,q,Validation ROC AUC
10,10,0.5,0.5,0.585955219661924
10,10,0.5,1,0.5983763248910268
10,10,0.5,2,0.5746016116293368
10,10,1,0.5,0.5845752807514029
10,10,1,1,0.5543515100246154
10,10,1,2,0.6071041128900412
10,10,2,0.5,0.5914140268627917
10,10,2,1,0.5894421612964877
10,10,2,2,0.6035712620400155
10,20,0.5,0.5,0.5270264241355251
10,20,0.5,1,0.5459002207096327
10,20,0.5,2,0.5499477512831553
10,20,1,0.5,0.553283473142965
10,20,1,1,0.5450837850377981
10,20,1,2,0.5409655557116245
10,20,2,0.5,0.5655964614500749
10,20,2,1,0.5545774941800355
10,20,2,2,0.5499931567924915
10,50,0.5,0.5,0.49190763727862835
10,50,0.5,1,0.49675832726967106
10,50,0.5,2,0.47800383708935
10,50,1,0.5,0.511621759586535
10,50,1,1,0.5044812935058176
10,50,1,2,0.49882021231644946
10,50,2,0.5,0.5075837274713837
10,50,2,1,0.5146831055238429
10,50,2,2,0.5061821651764641
20,10,0.5,0.5,0.5479507723685817
20,10,0.5,1,0.524171058024643
20,10,0.5,2,0.5336522824507635
20,10,1,0.5,0.5693438191516553
20,10,1,1,0.5384959205560456
20,10,1,2,0.5212160300588788
20,10,2,0.5,0.5504144709876785
20,10,2,1,0.5506903940075665
20,10,2,2,0.5422604762239195
20,20,0.5,0.5,0.5132294096449073
20,20,0.5,1,0.5051500713247874
20,20,0.5,2,0.5016591000412176
20,20,1,0.5,0.5079537715787703
20,20,1,1,0.5018879984963652
20,20,1,2,0.5018499686838706
20,20,2,0.5,0.5203805974703015
20,20,2,1,0.5130768226678118
20,20,2,2,0.5079004506874581
20,50,0.5,0.5,0.5035516318927147
20,50,0.5,1,0.499798733423751
20,50,0.5,2,0.4750068575991121
20,50,1,0.5,0.4793100909894745
20,50,1,1,0.4805801140275535
20,50,1,2,0.49573637949852745
20,50,2,0.5,0.4805943257361017
20,50,2,1,0.5006629851985235
20,50,2,2,0.4922798041475451
30,10,0.5,0.5,0.512155148394703
30,10,0.5,1,0.5183121282648792
30,10,0.5,2,0.5118320209150297
30,10,1,0.5,0.5224370137077146
30,10,1,1,0.521662133791255
30,10,1,2,0.5172963329042717
30,10,2,0.5,0.5264408297853234
30,10,2,1,0.5247634883865515
30,10,2,2,0.517111148945038
30,20,0.5,0.5,0.4821805682841294
30,20,0.5,1,0.4890917761196092
30,20,0.5,2,0.490893604889461
30,20,1,0.5,0.5026890351523553
30,20,1,1,0.48107698414160416
30,20,1,2,0.49762369439372195
30,20,2,0.5,0.5068415524740894
30,20,2,1,0.5055997729580617
30,20,2,2,0.5062838058768402
30,50,0.5,0.5,0.483011395559557
30,50,0.5,1,0.49403137024184807
30,50,0.5,2,0.48193763801547845
30,50,1,0.5,0.4844464902908486
30,50,1,1,0.4967897009655039
30,50,1,2,0.4953350336533259
30,50,2,0.5,0.49063948514901645
30,50,2,1,0.49327210521528686
30,50,2,2,0.4894747007122117
